Metaphor,Image
"He wanted to fight, but he was like a pup being held by the scruff.",C:/DataSet/SNLI/ImagesTest\image_299.jpg
"He wanted to fight, but he was like a pup being held by the scruff.",C:/DataSet/SNLI/ImagesTest\image_300.jpg
He was anxious like a lion.,C:/DataSet/SNLI/ImagesTest\image_301.jpg
"As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars.",C:/DataSet/SNLI/ImagesTest\image_302.jpg
"As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars.",C:/DataSet/SNLI/ImagesTest\image_303.jpg
"As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars.",C:/DataSet/SNLI/ImagesTest\image_304.jpg
"As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars.",C:/DataSet/SNLI/ImagesTest\image_305.jpg
I was swamped with work.,C:/DataSet/SNLI/ImagesTest\image_306.jpg
I was swamped with work.,C:/DataSet/SNLI/ImagesTest\image_307.jpg
I was swamped with work.,C:/DataSet/SNLI/ImagesTest\image_308.jpg
I was swamped with work.,C:/DataSet/SNLI/ImagesTest\image_309.jpg
The seeds of change were planted in 1943.,C:/DataSet/SNLI/ImagesTest\image_310.jpg
The seeds of change were planted in 1943.,C:/DataSet/SNLI/ImagesTest\image_311.jpg
The critics paid tribute to this broadway production.,C:/DataSet/SNLI/ImagesTest\image_312.jpg
The critics paid tribute to this broadway production.,C:/DataSet/SNLI/ImagesTest\image_313.jpg
The critics paid tribute to this broadway production.,C:/DataSet/SNLI/ImagesTest\image_314.jpg
The critics paid tribute to this broadway production.,C:/DataSet/SNLI/ImagesTest\image_315.jpg
"A ruined wooden shack, perhaps, or something like a thatched roof earthen hut .",C:/DataSet/SNLI/ImagesTest\image_316.jpg
"A ruined wooden shack, perhaps, or something like a thatched roof earthen hut .",C:/DataSet/SNLI/ImagesTest\image_317.jpg
"A ruined wooden shack, perhaps, or something like a thatched roof earthen hut .",C:/DataSet/SNLI/ImagesTest\image_318.jpg
"A ruined wooden shack, perhaps, or something like a thatched roof earthen hut .",C:/DataSet/SNLI/ImagesTest\image_319.jpg
He waited like a leopard poised to pounce,C:/DataSet/SNLI/ImagesTest\image_320.jpg
He waited like a leopard poised to pounce,C:/DataSet/SNLI/ImagesTest\image_321.jpg
People were bolting out of the theater.,C:/DataSet/SNLI/ImagesTest\image_322.jpg
And his wishes served to  guide  him .,C:/DataSet/SNLI/ImagesTest\image_323.jpg
And his wishes served to  guide  him .,C:/DataSet/SNLI/ImagesTest\image_324.jpg
And his wishes served to  guide  him .,C:/DataSet/SNLI/ImagesTest\image_325.jpg
And his wishes served to  guide  him .,C:/DataSet/SNLI/ImagesTest\image_326.jpg
Forced overtime burns goodwill at an extremely high rate.,C:/DataSet/SNLI/ImagesTest\image_327.jpg
Forced overtime burns goodwill at an extremely high rate.,C:/DataSet/SNLI/ImagesTest\image_328.jpg
Forced overtime burns goodwill at an extremely high rate.,C:/DataSet/SNLI/ImagesTest\image_329.jpg
Forced overtime burns goodwill at an extremely high rate.,C:/DataSet/SNLI/ImagesTest\image_330.jpg
Forced overtime burns goodwill at an extremely high rate.,C:/DataSet/SNLI/ImagesTest\image_331.jpg
Forced overtime burns goodwill at an extremely high rate.,C:/DataSet/SNLI/ImagesTest\image_332.jpg
Forced overtime burns goodwill at an extremely high rate.,C:/DataSet/SNLI/ImagesTest\image_333.jpg
Forced overtime burns goodwill at an extremely high rate.,C:/DataSet/SNLI/ImagesTest\image_334.jpg
Forced overtime burns goodwill at an extremely high rate.,C:/DataSet/SNLI/ImagesTest\image_335.jpg
Forced overtime burns goodwill at an extremely high rate.,C:/DataSet/SNLI/ImagesTest\image_336.jpg
Forced overtime burns goodwill at an extremely high rate.,C:/DataSet/SNLI/ImagesTest\image_337.jpg
Forced overtime burns goodwill at an extremely high rate.,C:/DataSet/SNLI/ImagesTest\image_338.jpg
"I have absolutely no control over my life, and yet I'm like a fish in deep water.",C:/DataSet/SNLI/ImagesTest\image_339.jpg
"I have absolutely no control over my life, and yet I'm like a fish in deep water.",C:/DataSet/SNLI/ImagesTest\image_340.jpg
"I have absolutely no control over my life, and yet I'm like a fish in deep water.",C:/DataSet/SNLI/ImagesTest\image_341.jpg
"I have absolutely no control over my life, and yet I'm like a fish in deep water.",C:/DataSet/SNLI/ImagesTest\image_342.jpg
He swept aside my objections.,C:/DataSet/SNLI/ImagesTest\image_343.jpg
He swept aside my objections.,C:/DataSet/SNLI/ImagesTest\image_344.jpg
He swept aside my objections.,C:/DataSet/SNLI/ImagesTest\image_345.jpg
"When the prophet told you that all your dreams would come true, you were like a million-dollar lottery winner.",C:/DataSet/SNLI/ImagesTest\image_346.jpg
"When the prophet told you that all your dreams would come true, you were like a million-dollar lottery winner.",C:/DataSet/SNLI/ImagesTest\image_347.jpg
"When the prophet told you that all your dreams would come true, you were like a million-dollar lottery winner.",C:/DataSet/SNLI/ImagesTest\image_348.jpg
"When the prophet told you that all your dreams would come true, you were like a million-dollar lottery winner.",C:/DataSet/SNLI/ImagesTest\image_349.jpg
"Unfortunately, their ideas about your past life are like drunken bat swings at a dart board.",C:/DataSet/SNLI/ImagesTest\image_350.jpg
"Unfortunately, their ideas about your past life are like drunken bat swings at a dart board.",C:/DataSet/SNLI/ImagesTest\image_351.jpg
I embarked on life thirty years ago,C:/DataSet/SNLI/ImagesTest\image_352.jpg
I embarked on life thirty years ago,C:/DataSet/SNLI/ImagesTest\image_353.jpg
I embarked on life thirty years ago,C:/DataSet/SNLI/ImagesTest\image_354.jpg
I embarked on life thirty years ago,C:/DataSet/SNLI/ImagesTest\image_355.jpg
I embarked on life thirty years ago,C:/DataSet/SNLI/ImagesTest\image_356.jpg
I embarked on life thirty years ago,C:/DataSet/SNLI/ImagesTest\image_357.jpg
I embarked on life thirty years ago,C:/DataSet/SNLI/ImagesTest\image_358.jpg
I embarked on life thirty years ago,C:/DataSet/SNLI/ImagesTest\image_359.jpg
I embarked on life thirty years ago,C:/DataSet/SNLI/ImagesTest\image_360.jpg
I embarked on life thirty years ago,C:/DataSet/SNLI/ImagesTest\image_361.jpg
I embarked on life thirty years ago,C:/DataSet/SNLI/ImagesTest\image_362.jpg
I embarked on life thirty years ago,C:/DataSet/SNLI/ImagesTest\image_363.jpg
You'd better keep away from Bill today because he's in a black mood.,C:/DataSet/SNLI/ImagesTest\image_364.jpg
You'd better keep away from Bill today because he's in a black mood.,C:/DataSet/SNLI/ImagesTest\image_365.jpg
You'd better keep away from Bill today because he's in a black mood.,C:/DataSet/SNLI/ImagesTest\image_366.jpg
You'd better keep away from Bill today because he's in a black mood.,C:/DataSet/SNLI/ImagesTest\image_367.jpg
"By the time sixth period photography rolled around, hardy was like a bear with a thorn in its paw.",C:/DataSet/SNLI/ImagesTest\image_368.jpg
"By the time sixth period photography rolled around, hardy was like a bear with a thorn in its paw.",C:/DataSet/SNLI/ImagesTest\image_369.jpg
"By the time sixth period photography rolled around, hardy was like a bear with a thorn in its paw.",C:/DataSet/SNLI/ImagesTest\image_370.jpg
"By the time sixth period photography rolled around, hardy was like a bear with a thorn in its paw.",C:/DataSet/SNLI/ImagesTest\image_371.jpg
The little raindrops diving together stick upon my coat.,C:/DataSet/SNLI/ImagesTest\image_372.jpg
Their initial icy glares had turned to restless agitation.,C:/DataSet/SNLI/ImagesTest\image_373.jpg
Their initial icy glares had turned to restless agitation.,C:/DataSet/SNLI/ImagesTest\image_374.jpg
Their initial icy glares had turned to restless agitation.,C:/DataSet/SNLI/ImagesTest\image_375.jpg
Their initial icy glares had turned to restless agitation.,C:/DataSet/SNLI/ImagesTest\image_376.jpg
Their initial icy glares had turned to restless agitation.,C:/DataSet/SNLI/ImagesTest\image_377.jpg
Their initial icy glares had turned to restless agitation.,C:/DataSet/SNLI/ImagesTest\image_378.jpg
Their initial icy glares had turned to restless agitation.,C:/DataSet/SNLI/ImagesTest\image_379.jpg
Their initial icy glares had turned to restless agitation.,C:/DataSet/SNLI/ImagesTest\image_380.jpg
Their initial icy glares had turned to restless agitation.,C:/DataSet/SNLI/ImagesTest\image_381.jpg
Their initial icy glares had turned to restless agitation.,C:/DataSet/SNLI/ImagesTest\image_382.jpg
Their initial icy glares had turned to restless agitation.,C:/DataSet/SNLI/ImagesTest\image_383.jpg
Their initial icy glares had turned to restless agitation.,C:/DataSet/SNLI/ImagesTest\image_384.jpg
The things that wait in between the two are like Scylla and Charybdas.,C:/DataSet/SNLI/ImagesTest\image_385.jpg
The things that wait in between the two are like Scylla and Charybdas.,C:/DataSet/SNLI/ImagesTest\image_386.jpg
The things that wait in between the two are like Scylla and Charybdas.,C:/DataSet/SNLI/ImagesTest\image_387.jpg
The things that wait in between the two are like Scylla and Charybdas.,C:/DataSet/SNLI/ImagesTest\image_388.jpg
The lone possibility swam in front of her like a mirage in the desert.,C:/DataSet/SNLI/ImagesTest\image_389.jpg
The lone possibility swam in front of her like a mirage in the desert.,C:/DataSet/SNLI/ImagesTest\image_390.jpg
The lone possibility swam in front of her like a mirage in the desert.,C:/DataSet/SNLI/ImagesTest\image_391.jpg
The lone possibility swam in front of her like a mirage in the desert.,C:/DataSet/SNLI/ImagesTest\image_392.jpg
He felt a wave of anger,C:/DataSet/SNLI/ImagesTest\image_393.jpg
He felt a wave of anger,C:/DataSet/SNLI/ImagesTest\image_394.jpg
He felt a wave of anger,C:/DataSet/SNLI/ImagesTest\image_395.jpg
He felt a wave of anger,C:/DataSet/SNLI/ImagesTest\image_396.jpg
He felt a wave of anger,C:/DataSet/SNLI/ImagesTest\image_397.jpg
He felt a wave of anger,C:/DataSet/SNLI/ImagesTest\image_398.jpg
He felt a wave of anger,C:/DataSet/SNLI/ImagesTest\image_399.jpg
He felt a wave of anger,C:/DataSet/SNLI/ImagesTest\image_400.jpg
Now she seemed like a buzzing fly at a picnic,C:/DataSet/SNLI/ImagesTest\image_401.jpg
Now she seemed like a buzzing fly at a picnic,C:/DataSet/SNLI/ImagesTest\image_402.jpg
"It seems like he's just really charismatic, until his demands become gradually like a megolamaniac's.",C:/DataSet/SNLI/ImagesTest\image_403.jpg
"It seems like he's just really charismatic, until his demands become gradually like a megolamaniac's.",C:/DataSet/SNLI/ImagesTest\image_404.jpg
"It seems like he's just really charismatic, until his demands become gradually like a megolamaniac's.",C:/DataSet/SNLI/ImagesTest\image_405.jpg
"It seems like he's just really charismatic, until his demands become gradually like a megolamaniac's.",C:/DataSet/SNLI/ImagesTest\image_406.jpg
And now they were leaking all kinds of documents.,C:/DataSet/SNLI/ImagesTest\image_407.jpg
And now they were leaking all kinds of documents.,C:/DataSet/SNLI/ImagesTest\image_408.jpg
And now they were leaking all kinds of documents.,C:/DataSet/SNLI/ImagesTest\image_409.jpg
And now they were leaking all kinds of documents.,C:/DataSet/SNLI/ImagesTest\image_410.jpg
I picked it up and eyed him warily; his nostrils were like an agitated bull,C:/DataSet/SNLI/ImagesTest\image_411.jpg
"Her short, blue hair stuck out all over the place, her eyes were like a goth clown .",C:/DataSet/SNLI/ImagesTest\image_412.jpg
"Her short, blue hair stuck out all over the place, her eyes were like a goth clown .",C:/DataSet/SNLI/ImagesTest\image_413.jpg
"Her short, blue hair stuck out all over the place, her eyes were like a goth clown .",C:/DataSet/SNLI/ImagesTest\image_414.jpg
He thinks these documents will leak out soon or late.,C:/DataSet/SNLI/ImagesTest\image_415.jpg
He thinks these documents will leak out soon or late.,C:/DataSet/SNLI/ImagesTest\image_416.jpg
He thinks these documents will leak out soon or late.,C:/DataSet/SNLI/ImagesTest\image_417.jpg
He thinks these documents will leak out soon or late.,C:/DataSet/SNLI/ImagesTest\image_418.jpg
The faculty meeting was a comedy show,C:/DataSet/SNLI/ImagesTest\image_419.jpg
The faculty meeting was a comedy show,C:/DataSet/SNLI/ImagesTest\image_420.jpg
The faculty meeting was a comedy show,C:/DataSet/SNLI/ImagesTest\image_421.jpg
The faculty meeting was a comedy show,C:/DataSet/SNLI/ImagesTest\image_422.jpg
The place was like a seedy den .,C:/DataSet/SNLI/ImagesTest\image_423.jpg
The place was like a seedy den .,C:/DataSet/SNLI/ImagesTest\image_424.jpg
The place was like a seedy den .,C:/DataSet/SNLI/ImagesTest\image_425.jpg
The place was like a seedy den .,C:/DataSet/SNLI/ImagesTest\image_426.jpg
Her hands are soft as alligator skin.,C:/DataSet/SNLI/ImagesTest\image_427.jpg
Her hands are soft as alligator skin.,C:/DataSet/SNLI/ImagesTest\image_428.jpg
He is grinning like an ape.,C:/DataSet/SNLI/ImagesTest\image_429.jpg
He is grinning like an ape.,C:/DataSet/SNLI/ImagesTest\image_430.jpg
"You both have something important to say, but time is like a half-blink.",C:/DataSet/SNLI/ImagesTest\image_431.jpg
"You both have something important to say, but time is like a half-blink.",C:/DataSet/SNLI/ImagesTest\image_432.jpg
"You both have something important to say, but time is like a half-blink.",C:/DataSet/SNLI/ImagesTest\image_433.jpg
This rare bordeaux must be allowed to breathe for at least 2 hours.,C:/DataSet/SNLI/ImagesTest\image_434.jpg
This rare bordeaux must be allowed to breathe for at least 2 hours.,C:/DataSet/SNLI/ImagesTest\image_435.jpg
This rare bordeaux must be allowed to breathe for at least 2 hours.,C:/DataSet/SNLI/ImagesTest\image_436.jpg
This rare bordeaux must be allowed to breathe for at least 2 hours.,C:/DataSet/SNLI/ImagesTest\image_437.jpg
"She might look ruthless to the human eye, but sean could tell she was full of shame at being so stern with a man like a persistent puppy.",C:/DataSet/SNLI/ImagesTest\image_438.jpg
"She might look ruthless to the human eye, but sean could tell she was full of shame at being so stern with a man like a persistent puppy.",C:/DataSet/SNLI/ImagesTest\image_439.jpg
"She might look ruthless to the human eye, but sean could tell she was full of shame at being so stern with a man like a persistent puppy.",C:/DataSet/SNLI/ImagesTest\image_440.jpg
"She might look ruthless to the human eye, but sean could tell she was full of shame at being so stern with a man like a persistent puppy.",C:/DataSet/SNLI/ImagesTest\image_441.jpg
Look at their smiling faces and their zeal as they try to wash their sins away.,C:/DataSet/SNLI/ImagesTest\image_442.jpg
Look at their smiling faces and their zeal as they try to wash their sins away.,C:/DataSet/SNLI/ImagesTest\image_443.jpg
Look at their smiling faces and their zeal as they try to wash their sins away.,C:/DataSet/SNLI/ImagesTest\image_444.jpg
Look at their smiling faces and their zeal as they try to wash their sins away.,C:/DataSet/SNLI/ImagesTest\image_445.jpg
Look at their smiling faces and their zeal as they try to wash their sins away.,C:/DataSet/SNLI/ImagesTest\image_446.jpg
Look at their smiling faces and their zeal as they try to wash their sins away.,C:/DataSet/SNLI/ImagesTest\image_447.jpg
Look at their smiling faces and their zeal as they try to wash their sins away.,C:/DataSet/SNLI/ImagesTest\image_448.jpg
Look at their smiling faces and their zeal as they try to wash their sins away.,C:/DataSet/SNLI/ImagesTest\image_449.jpg
Look at their smiling faces and their zeal as they try to wash their sins away.,C:/DataSet/SNLI/ImagesTest\image_450.jpg
Look at their smiling faces and their zeal as they try to wash their sins away.,C:/DataSet/SNLI/ImagesTest\image_451.jpg
Look at their smiling faces and their zeal as they try to wash their sins away.,C:/DataSet/SNLI/ImagesTest\image_452.jpg
Look at their smiling faces and their zeal as they try to wash their sins away.,C:/DataSet/SNLI/ImagesTest\image_453.jpg
"Mrs. Saunders looked at me, her hands shaking, making her rosary beads sound like a wind chime .",C:/DataSet/SNLI/ImagesTest\image_454.jpg
"Mrs. Saunders looked at me, her hands shaking, making her rosary beads sound like a wind chime .",C:/DataSet/SNLI/ImagesTest\image_455.jpg
I miss swimming in her eyes and watching her.,C:/DataSet/SNLI/ImagesTest\image_456.jpg
I miss swimming in her eyes and watching her.,C:/DataSet/SNLI/ImagesTest\image_457.jpg
I miss swimming in her eyes and watching her.,C:/DataSet/SNLI/ImagesTest\image_458.jpg
I miss swimming in her eyes and watching her.,C:/DataSet/SNLI/ImagesTest\image_459.jpg
All was like a winter morning after it had snowed all night.,C:/DataSet/SNLI/ImagesTest\image_460.jpg
All was like a winter morning after it had snowed all night.,C:/DataSet/SNLI/ImagesTest\image_461.jpg
All was like a winter morning after it had snowed all night.,C:/DataSet/SNLI/ImagesTest\image_462.jpg
All was like a winter morning after it had snowed all night.,C:/DataSet/SNLI/ImagesTest\image_463.jpg
This pillow's as soft as stone,C:/DataSet/SNLI/ImagesTest\image_464.jpg
This pillow's as soft as stone,C:/DataSet/SNLI/ImagesTest\image_465.jpg
This pillow's as soft as stone,C:/DataSet/SNLI/ImagesTest\image_466.jpg
This pillow's as soft as stone,C:/DataSet/SNLI/ImagesTest\image_467.jpg
The wind floats through the leaves.,C:/DataSet/SNLI/ImagesTest\image_468.jpg
The wind floats through the leaves.,C:/DataSet/SNLI/ImagesTest\image_469.jpg
The wind floats through the leaves.,C:/DataSet/SNLI/ImagesTest\image_470.jpg
The wind floats through the leaves.,C:/DataSet/SNLI/ImagesTest\image_471.jpg
You’ve discovered that your body is like bulletproof steel.,C:/DataSet/SNLI/ImagesTest\image_472.jpg
You’ve discovered that your body is like bulletproof steel.,C:/DataSet/SNLI/ImagesTest\image_473.jpg
You’ve discovered that your body is like bulletproof steel.,C:/DataSet/SNLI/ImagesTest\image_474.jpg
You’ve discovered that your body is like bulletproof steel.,C:/DataSet/SNLI/ImagesTest\image_475.jpg
Her face was calm but she seemed like a coiled spring .,C:/DataSet/SNLI/ImagesTest\image_476.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_477.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_478.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_479.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_480.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_481.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_482.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_483.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_484.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_485.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_486.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_487.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_488.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_489.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_490.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_491.jpg
my love is a summer day,C:/DataSet/SNLI/ImagesTest\image_492.jpg
"A bright light shines above you, the rest of the room is like a moonless night.",C:/DataSet/SNLI/ImagesTest\image_493.jpg
"A bright light shines above you, the rest of the room is like a moonless night.",C:/DataSet/SNLI/ImagesTest\image_494.jpg
"A bright light shines above you, the rest of the room is like a moonless night.",C:/DataSet/SNLI/ImagesTest\image_495.jpg
After working two years for the company she was burned out.,C:/DataSet/SNLI/ImagesTest\image_496.jpg
After working two years for the company she was burned out.,C:/DataSet/SNLI/ImagesTest\image_497.jpg
After working two years for the company she was burned out.,C:/DataSet/SNLI/ImagesTest\image_498.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_499.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_500.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_501.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_502.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_503.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_504.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_505.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_506.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_507.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_508.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_509.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_510.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_511.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_512.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_513.jpg
Here comes the fool with his foggy brain,C:/DataSet/SNLI/ImagesTest\image_514.jpg
this chair is as fragile as a brick,C:/DataSet/SNLI/ImagesTest\image_515.jpg
this chair is as fragile as a brick,C:/DataSet/SNLI/ImagesTest\image_516.jpg
this chair is as fragile as a brick,C:/DataSet/SNLI/ImagesTest\image_517.jpg
this chair is as fragile as a brick,C:/DataSet/SNLI/ImagesTest\image_518.jpg
My eyes teared up and I could feel my face turning into a bruised tomato.,C:/DataSet/SNLI/ImagesTest\image_519.jpg
My eyes teared up and I could feel my face turning into a bruised tomato.,C:/DataSet/SNLI/ImagesTest\image_520.jpg
The faculty meeting was a war.,C:/DataSet/SNLI/ImagesTest\image_521.jpg
The faculty meeting was a war.,C:/DataSet/SNLI/ImagesTest\image_522.jpg
The faculty meeting was a war.,C:/DataSet/SNLI/ImagesTest\image_523.jpg
The faculty meeting was a war.,C:/DataSet/SNLI/ImagesTest\image_524.jpg
"It balanced on two asymmetrical legs and had a pair of long arms, but it was like a haphazard scarecrow .",C:/DataSet/SNLI/ImagesTest\image_525.jpg
"It balanced on two asymmetrical legs and had a pair of long arms, but it was like a haphazard scarecrow .",C:/DataSet/SNLI/ImagesTest\image_526.jpg
"It balanced on two asymmetrical legs and had a pair of long arms, but it was like a haphazard scarecrow .",C:/DataSet/SNLI/ImagesTest\image_527.jpg
"It balanced on two asymmetrical legs and had a pair of long arms, but it was like a haphazard scarecrow .",C:/DataSet/SNLI/ImagesTest\image_528.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_529.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_530.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_531.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_532.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_533.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_534.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_535.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_536.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_537.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_538.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_539.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_540.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_541.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_542.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_543.jpg
You will love the new train  it is a heavenly ride,C:/DataSet/SNLI/ImagesTest\image_544.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_545.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_546.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_547.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_548.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_549.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_550.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_551.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_552.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_553.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_554.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_555.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_556.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_557.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_558.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_559.jpg
O Moon your light is failing and now you are just a cold bow,C:/DataSet/SNLI/ImagesTest\image_560.jpg
"He sits up on the mattress, looking around like a kid sitting in front of a christmas tree.",C:/DataSet/SNLI/ImagesTest\image_561.jpg
"He sits up on the mattress, looking around like a kid sitting in front of a christmas tree.",C:/DataSet/SNLI/ImagesTest\image_562.jpg
"He sits up on the mattress, looking around like a kid sitting in front of a christmas tree.",C:/DataSet/SNLI/ImagesTest\image_563.jpg
I wanted that gift as much as cancer,C:/DataSet/SNLI/ImagesTest\image_564.jpg
I wanted that gift as much as cancer,C:/DataSet/SNLI/ImagesTest\image_565.jpg
I wanted that gift as much as cancer,C:/DataSet/SNLI/ImagesTest\image_566.jpg
I wanted that gift as much as cancer,C:/DataSet/SNLI/ImagesTest\image_567.jpg
His eyes met mine like a sunlit wooded glade .,C:/DataSet/SNLI/ImagesTest\image_568.jpg
His eyes met mine like a sunlit wooded glade .,C:/DataSet/SNLI/ImagesTest\image_569.jpg
His eyes met mine like a sunlit wooded glade .,C:/DataSet/SNLI/ImagesTest\image_570.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_571.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_572.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_573.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_574.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_575.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_576.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_577.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_578.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_579.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_580.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_581.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_582.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_583.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_584.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_585.jpg
She was sure she was living this fantasy romance and kept deluding herself,C:/DataSet/SNLI/ImagesTest\image_586.jpg
The future of our transportation system hangs in the balance.,C:/DataSet/SNLI/ImagesTest\image_587.jpg
The future of our transportation system hangs in the balance.,C:/DataSet/SNLI/ImagesTest\image_588.jpg
The future of our transportation system hangs in the balance.,C:/DataSet/SNLI/ImagesTest\image_589.jpg
The future of our transportation system hangs in the balance.,C:/DataSet/SNLI/ImagesTest\image_590.jpg
The future of our transportation system hangs in the balance.,C:/DataSet/SNLI/ImagesTest\image_591.jpg
